字词索引,参见,词条,繁体异体,拼音,部首,笔画,结构,字级,释义
苎,,苎,[苧],zhù,艹,7,上下,二级字,苎麻。《管子·小匡》：“首戴～蒲，身服袯襫（bóshì）。”（袯襫：蓑衣。）贾思勰《齐民要术·枸橼》：“可以浣治葛、～。”
侏,,侏,,zhū,亻,8,左右,二级字,矮小。《论衡·齐世》：“安得伛～之人乎?”（伛：驼背。）//[侏儒]//身材短小的人。《史记·滑稽列传》：“优旃（zhān）者，秦倡～～也。”（优：演员。旃：人名。倡：表演歌舞的人。）又写作“朱儒”。
拄,,拄,,zhǔ,扌,8,左右,一级字,❶支撑。《战国策·齐策六》：“大冠若箕，修剑～颐。”《世说新语·豪爽》：“陈以如意～颊，望鸡笼山叹曰：‘孙伯符志业不遂。’”//❷讥刺，反驳。《汉书·朱云传》：“既论难，连～五鹿君。”
杼,,杼㈡,,zhù,木,8,左右,二级字,❶织布机的梭子。《战国策·秦策二》：“其母惧，投～逾墙而走。”//❷削薄。《周礼·考工记·轮人》：“凡为轮行泽者欲～。”
枓,,枓㈡,,zhǔ,木,8,左右,,勺子。《礼记·丧大记》：“浴水用盆，沃水用～。”（沃：浇。）
注,,注,,zhù,氵,8,左右,一级字,❶倒入，灌入。《庄子·齐物论》：“～焉而不满。”//〖引〗流入。《诗经·大雅·文王有声》：“丰水东～。”（丰水：河名。）//❷附着。《尔雅·释天》：“～旄首曰旌（jīng）。”（把牦牛尾附在旗杆头上，这种旗叫旌。旄：牦牛尾。）//〖引〗集中于某一点上。《晋书·孙惠传》：“四海～目。”又如“注意”。//❸记载。《三国志·蜀书·刘禅传》：“国不置史，～记无官。”（史：史官。）//❹注释。《世说新语·文学》：“郑玄欲～春秋传。”//❺用来赌博的财物。《宋史·寇准传》：“博者输钱欲尽，乃罄（qìng）所有出之，谓之孤～。”（罄：尽。）成语有“孤注一掷”。//❻屋檐滴水处。司马相如《上林赋》：“高廊四～，重坐曲阁。”
注,,注,[註],zhù,氵,8,左右,一级字,❶记载。《后汉书·律历志》：“重黎记～。”（重黎：人名。）//❷注释。仇兆鳌《进杜少陵详注表》：“谨以所～诗赋二十四卷。”//【注意】//“註释”的“註”是晚起字，明代以前都只写作“注”，现“註”又作为异体字归并为“注”。
竺,,竺㈡,,zhú,竹(𥫗),8,上下,二级字,[天竺]//印度的古称。玄奘《大唐西域记》卷二：“详夫～～之称，异议纠纷，旧云身毒，或曰贤豆，今从正音，宜云印度。”
诛,,诛,[誅],zhū,讠,8,左右,二级字,❶责问，谴责。《论语·公冶长》：“朽木不可雕也，粪土之墙不可杇（wū）也，于予与何～?”（杇：粉刷，涂饰。予：宰予，孔子学生。）李陵《重报苏武书》：“汉厚～陵以不死。”成语有“口诛笔伐”。//〖又〗讨伐。《史记·秦始皇本纪》：“故兴兵～之，虏其王。”//〖引〗惩罚。《荀子·富国》：“～而不赏，则勤属之民不劝。”（“属”当作“厉”。）//❷杀死。晁错《贤良文学对策》：“害民者～。”//〖引〗铲除。屈原《卜居》：“宁～锄草茅以力耕乎?”//❸要求。要别人供给东西。《左传·襄公三十一年》：“～求无时。”
贮,,贮,[貯],zhù,贝,8,左右,一级字,❶积存，储藏。晁错《论贵粟疏》：“商贾大者积～倍息，小者坐列贩卖。”//❷通“伫”。等待。《汉书·外戚传上·孝武李夫人》：“饰新宫以延～兮，泯不归乎故乡。”
邾,,邾,,zhū,阝右,8,左右,二级字,周代诸侯国，后改称“邹”。
驻,,驻,[駐],zhù,马,8,左右,一级字,❶车马停止不前。《三国志·蜀书·先主传》：“乃～马呼琮。”（琮：人名。）//〖引〗暂时停留。《古诗为焦仲卿妻作》：“行人～足听。”//❷军队驻扎，驻守。《三国志·蜀书·诸葛亮传》：“分兵屯田，为久～之基。”（屯田：种田以积蓄军粮。基：基础。）
柚,,柚㈡,,zhú,木,9,左右,二级字,织布机上缠经线的圆轴。《诗经·小雅·大东》：“小东大东，杼～其空。”
柷,,柷,,zhù,木,9,左右,三级字,乐器名。奏乐开始时先击柷。《诗经·周颂·有瞽》：“鼗磬～圉（yǔ）。”（圉：通“敔”。用以止乐的乐器。）
洙,,洙,,zhū,氵,9,左右,二级字,古水名。在鲁国（今山东）境内。//[洙泗]//洙水和泗水。孔子曾在洙泗间聚徒讲学。《礼记·檀弓上》：“吾与女事夫子于～～之间。”又指孔子或儒家。阮侃《答嵇康》诗二首之一：“～～久已往，微言谁共听？”任昉《齐竟陵文宣王行状》：“弘～～之风，阐迦维之化。”
祝,,祝㈡,,zhù,礻,9,左右,一级字,❶祭祀时主持祝告的人。《左传·昭公二十年》：“其～史祭祀，陈信不愧。”（史：史官。）//❷祝祷。《韩非子·说林下》：“巫咸虽善～，不能自祓（fú）也。”（巫咸：传说中的神巫。祓：祝祷免除灾难。）《吕氏春秋·乐成》：“酒酣，王为群臣～，令群臣皆得志。”//〖泛〗祝愿。如“祝寿”。//❸断绝，剪断。《穀梁传·哀公十三年》：“～发文身。”（文：刺画花纹。）//这个意义后来写作“咒”。
茱,,茱,,zhū,艹,9,上下,二级字,[茱萸]//植物名。古代在重阳节佩戴茱萸以避邪。宗懔《荆楚岁时记》：“九月九日宴会……今北人亦重此节，佩～～食饵饮菊花酒，云令人长寿。”
斸,,斸,[劚],zhú,,,,,❶大锄。《国语·齐语》：“美金以铸剑戟，试诸狗马；恶金以铸鉏（chú）夷斤～，试诸壤土。”（鉏：锄。）//❷掘，挖。贾思勰《齐民要术·槐柳》：“～地令熟，还于槐下种麻。”元稹《筑城曲》：“平城被虏围，汉～城墙走。”//〖又〗砍。杨万里《远峰》诗：“谁将修月斧，～取一尖来。”
紸,,紸,,zhù,,,,,[紸纩（kuàng）]//古人以新丝绵放在临终者口鼻前，观察是否还有呼吸。《荀子·礼论》：“～～听息之时。”
羜,,羜,,zhù,,,,,幼羊。《诗经·小雅·伐木》：“既有肥～，以速诸父。”
馵,,馵,,zhù,,,,,左足白色的马。《诗经·秦风·小戎》：“文茵畅毂，驾我骐～。”（骐：有青黑色花纹的马。）
鼄,,鼄,,zhū,,,,,[鼅鼄]//见530页“鼅”字。
髽,,髽,,zhuā,髟,17,上下,三级字,古人有丧事时的发髻，以麻束发。《左传·襄公四年》：“臧纥救鄫，侵邾，败于狐骀。国人逆丧者皆～。鲁于是乎始～。”//〖泛〗以麻束发。《淮南子·齐俗》：“三苗～首，羌人括领，中国冠笄。”
爪,,爪㈡,,zhuǎ,爪,4,独体,一级字,鸟兽的脚。《老子·五十章》：“虎无所措其～。”（措：置。）黄庭坚《观刘永年团练画角鹰》诗：“～拳金钩觜屈铁。”（拳：曲。觜：嘴。）
挝,,挝㈡,[撾],zhuā,扌,9,左右,二级字,❶击，打。《东观汉记·第五伦传》：“闻卿为吏，～妻父，不过从兄饭，宁有之耶?”//❷击鼓之法。《后汉书·祢衡传》：“衡方为渔阳参～，蹀跃而前。”
檛,,檛,,zhuā,,,,,❶马棰。史游《急就篇》卷三：“铁锤～杖棁柲杸。”//❷捶击。《后汉书·崔寔传》：“父～而走，孝乎？”
啭,,啭,[囀],zhuàn,口,11,左右,二级字,婉转发声。谢朓《从戎曲》：“寥戾清笳～，萧条边马烦。”王维《积雨辋川庄作》诗：“漠漠水田飞白鹭，阴阴夏木～黄鹂。”
僝,,僝㈡,,zhuàn,亻,14,左右,,具备。《尚书·尧典》：“共工方鸠～功。”（共工：人名。方：通“旁”。遍。鸠：聚。）左思《魏都赋》：“～拱木于林衡。”
赚,,赚,[賺],zhuàn,贝,14,左右,一级字,（又读zuàn）诳骗。王定保《唐摭言·散序进士》：“太宗皇帝真长策，～得英雄尽白头。”
撰,,撰㈡,,zhuàn,扌,15,左右,一级字,❶具备。潘岳《藉田赋》：“司农～播殖之器。”（司农：官名。）//❷编集。曹丕《与吴质书》：“顷～其遗文，都为一集。”（都：汇集。）//〖又〗写作。《南史·王弘传》：“傅亮之徒并～辞，欲盛称功德。”//❸持，拿。屈原《九歌·东君》：“～余辔（pèi）兮高驰翔。”（余：我。辔：缰绳。）
篆,,篆,,zhuàn,竹(𥫗),15,上下,二级字,❶汉字的一种字体。刘勰《文心雕龙·练字》：“李斯删籀（zhòu）而秦～兴。”（籀：一种字体。）//❷印章。印章多用篆文，所以称印章为篆。如“接篆”（官员接任）、“摄篆”（暂代官职）。//❸[篆刻]//雕刻篆文。《明史·文征明传》：“能诗，工书、画、～～。”（工：擅长。）//雕琢文辞。任昉《为范尚书让吏部封侯第一表》：“～～为文，而三冬靡就。”
颛,,颛,[顓],zhuān,页,15,左右,二级字,❶愚昧。《汉书·扬雄传》：“天降生民，倥侗～蒙。”（倥侗：无知的样子。）//❷善良。《淮南子·览冥》：“猛兽食～民，鸷鸟攫老弱。”//❸通“专”。专擅，专断。《汉书·外戚传》：“恐女主～恣乱国家。”《汉书·朝鲜传》：“不能～决，与左将军相误，卒沮约。”（沮：坏。）//❹[颛顼（xū）]//传说中的“五帝”之一。
馔,,馔㈡,[饌],zhuàn,饣,15,左右,二级字,❶陈设或准备食物。《仪礼·士虞礼》：“～于西坫（diàn）上。”（坫：放食物的土台。）杜甫《病后遇王倚饮赠歌》：“遣人向市赊香稉（jīng），唤妇出房亲自～。”（稉：稻米。）//❷食物，多指美食。《南史·虞悰传》：“盛～享宾。”（享：用酒食款待人。）//〖又〗吃，喝。《论语·为政》：“有酒食，先生～。”//上述❶❷又写作“籑”、“䉵”。
专,,专,[專、耑],zhuān,一,4,独体,一级字,❶独，独有，独占。《史记·陈丞相世家》：“陈平～为一丞相。”柳宗元《捕蛇者说》：“有蒋氏者，～其利三世矣。”（利：利益。三世：三代。）//〖特〗独断专行。《左传·桓公十五年》：“祭仲～，郑伯患之。”（患：担忧。）//❷专门，专一。《战国策·秦策三》：“愿君之～志于攻齐，而无他虑也。”王安石《上皇帝万言书》：“所谓察之者，非～用耳目之聪明，而听私于一人之口也。”（察：省察。）
传,,传㈡,[傳],zhuàn,亻,6,左右,一级字,❶驿舍，客舍。《三国志·魏书·张鲁传》：“作义舍，如今之亭～。”（义舍：指不收钱的客店。）//❷驿车，传达命令的马车。《韩非子·喻老》：“遽（jù）～不用。”（遽：驿车。）//〖引〗官府载人的车。李商隐《筹笔驿》诗：“终见降王走～车。”//❸文字记载。晁错《贤良文学对策》：“臣窃观上世之～。”（窃：谦辞，私下。）//〖引〗传记。一种文体。《史记·太史公自序》：“作七十列～。”//〖又〗注释或解释经义的文字。如《诗经毛传》、《春秋公羊传》。//❹信符，凭证。《汉书·宁成传》：“诈刻～出关归家。”//【辨析】//传，递。见82页“递”字。
抟,,抟㈡,[摶],zhuān,扌,7,左右,二级字,通“专”。专一。《史记·秦始皇本纪》：“～心揖志。”（揖：通“壹”。）
抟,,抟㈢,[摶],zhuàn,扌,7,左右,二级字,（把东西）卷紧。《周礼·考工记·鲍人》：“卷而～之，欲其无迆也。”
剸,,剸㈡,,zhuān,,,,,通“专”。专擅。《荀子·荣辱》：“信而不见敬者，好～行也。”//〖又〗专一。《汉书·萧何传》：“上以此～属任何关中事。”
籑,,籑,[䉵],zhuàn,,,,,❶同“馔”。饮食。《汉书·杜邺传》：“陈平共壹饭之～而将相加驩。”（驩：欢。）//❷通“撰”。编集，撰写。《汉书·司马迁传赞》：“左丘明论辑其本事以为之传，又～异同为《国语》。”
装,,装,[裝],zhuāng,衣,12,上下,一级字,❶行装。《战国策·齐策四》：“于是约车治～。”（约车：套车。治装：收拾行装。）//❷打扮，装饰。宋玉《登徒子好色赋》：“不待饰～。”杜甫《蕃剑》诗：“又非珠玉～。”这个意义又写作“妆”。//〖又〗装束。《后汉书·清河孝王刘庆传》：“常夜分严～衣冠待明。”（夜分：夜半。严装：端整装束。）//❸装载（后起意义）。《晋书·戴若思传》：“遇陆机赴洛，船～甚盛。”//古代“装”字不当“假装”讲，“假装”的意义用“佯”。//【辨析】//妆，装。见上“妆”字。
幢,,幢㈡,,zhuàng,巾,15,左右,一级字,车船上的帘子。《隋书·礼仪志五》：“乌漆轮毂黄金雕装，上加青油～。”（乌：黑。毂：车轮中心的圆木可以插轴的部分。青油：乌臼木榨出来的油。）
憧,,憧㈡,,zhuàng,忄,15,左右,二级字,愚昧。《史记·三王世家》：“愚～而不逮事。”
赣,,赣㈢,[贛],zhuàng,音,21,左右,一级字,通“戆”。愚笨而刚直。《墨子·非儒下》：“以为实在，则～愚甚矣。”
戆,,戆,[戇],zhuàng,心,25,上下,二级字,愚直。《史记·汲郑列传》：“甚矣，汲黯之～也!”韩愈《祭张员外文》：“余～而狂，年未三纪。”//〖又〗刚直。《宋史·韩世忠传》：“性～直，勇敢忠义，事关庙社，必流涕极言。”
壮,,壮,[壯],zhuàng,丬,6,左右,一级字,❶壮年，古人三十岁以上为壮年。贾谊《治安策》：“大国之王，幼弱未～。”//〖引〗年少。《后汉书·循吏传》：“拜会稽都尉，时年十九，迎官惊其～。”//❷健壮，强壮。左思《吴都赋》：“趫材悍～。”（趫：矫健。）//〖又〗豪壮。《汉书·东方朔传》：“拔剑割肉，壹何～也！”//〖又〗认为豪壮。《汉书·高帝纪上》：“羽～之，赐以酒。”（羽：项羽。）//❸雄壮。《后汉书·东海恭王强传》：“起灵光殿，甚～丽。”//❹强盛。司马相如《长门赋》：“邪气～而攻中。”（中：指内心。）//❺医用艾灸，一灼为一壮。《三国志·魏书·华佗传》：“若当灸，不过一两处，每处不过七八～，病亦应除。”
妆,,妆,[妝、粧],zhuāng,丬,6,左右,一级字,打扮，装饰。秦韬玉《贫女》诗：“共怜时世俭梳～。”//〖特〗妇女所用的脂粉、衣物等装饰物。《木兰诗》：“阿姊闻妹来，当户理红～。”
庄,,庄,[莊],zhuāng,广,6,半包围,一级字,❶庄重，严肃。《荀子·乐论》：“而容貌得～焉。”（得：能够。）《汉书·爰盎传》：“后朝，上益～，丞相益畏。”（上：指皇帝。）//❷四通八达的道路。《左传·襄公二十八年》：“得庆氏之木百车于～。”//❸村庄（后起意义）。杜甫《怀锦水居止》诗：“万里桥西宅，百花潭北～。”（宅：住宅。）
状,,状,[狀],zhuàng,丬,7,左右,一级字,❶形状，样子。郦道元《水经注·庐江水》：“其～若门。”《史记·孔子世家》：“孔子～类阳虎，拘焉五日。”（阳虎：人名。）//〖又〗情形。《汉书·丙吉传》：“分别奏组等共养劳苦～。”（组：人名。共：供。）//[无状]//无功劳，无成绩。《史记·夏本纪》：“鲧（gǔn）之治水～～。”（鲧：人名。）//不像样。《史记·项羽本纪》：“秦中吏卒遇之多～～。”//❷陈述，描绘。《庄子·德充符》：“自～其过。”柳宗元《游黄溪记》：“至初潭最奇丽，殆不可～。”（殆：几乎。）//〖又〗文体的一种，用于下对上叙述事情。《汉书·赵充国传》：“充国上～曰。”
缀,,缀㈡,[綴],zhuì,纟,11,左右,一级字,❶缝合，联结。《战国策·秦策一》：“～甲厉兵。”（甲：铠甲。厉兵：磨利武器。）张衡《西京赋》：“～以二华。”（二华：指太华、少华二山。）//〖又〗会，聚集。《后汉书·循吏传》：“今～集殊闻显迹，以为《循吏篇》云。”//[缀文]//写文章。皇甫谧《三都赋序》：“～～之士。”//❷装饰，点缀。《韩非子·外储说左上》：“熏以桂椒，～以珠玉。”
骓,,骓,[騅],zhuī,马,11,左右,二级字,毛色黑白混杂的马。《诗经·鲁颂·䌹》：“有～有駓（pī）。”（駓：毛色黄白混杂的马。）《史记·项羽本纪》：“力拔山兮气盖世，时不利兮～不逝。”
惴,,惴,,zhuì,忄,12,左右,二级字,恐惧。《孟子·公孙丑上》：“自反而不缩，虽褐宽博，吾不～焉。”《后汉书·酷吏传》：“郡中～恐，莫敢自保。”//[惴惴]//恐惧的样子。《诗经·秦风·黄鸟》：“～～其栗。”（栗：发抖。）
椎,,椎㈡,,zhuī,木,12,左右,一级字,脊椎骨。《素问·刺热》：“三～下间主胸中热。”（三椎：指第三节脊椎骨。）
缒,,缒,[縋],zhuì,纟,12,左右,二级字,用绳子拴着人、物从高处往下送。《左传·僖公三十年》：“许之，夜～而出。”//〖又〗指用绳子拴着从低处升到高处。《左传·昭公十九年》：“子占使师夜～而登。”（子占：人名。）//〖又〗指拴人或物的绳子。《左传·昭公十九年》：“登者六十人，～绝。”
膇,,膇,,zhuì,月,13,左右,,脚肿。《左传·成公六年》：“民愁则垫隘，于是乎有沉溺重～之疾。”（重：肿。）
锥,,锥,[錐],zhuī,钅,13,左右,一级字,锥子，钻孔的工具。《荀子·劝学》：“譬之犹以指测河也，以戈舂黍也，以～飡壶也，不可以得之矣。”《战国策·秦策一》：“读书欲睡，引～自刺其股。”
赘,,赘,[贅],zhuì,贝,14,上下,一级字,❶抵押。《汉书·严助传》：“民待卖爵～子，以接衣食。”//❷入赘，旧指结婚后男住女家。《汉书·贾谊传》：“家贫子壮则出～。”//❸通“缀”。联结。《韩非子·存韩》：“夫赵氏聚士卒，养从徒，欲～天下之兵。”//〖引〗会，聚集。《汉书·武帝纪》：“毋～聚。”（毋：不要。）//❹病名。赘疣，俗称瘊子。《庄子·骈拇》：“附～县疣，出乎形哉。”（县：同“悬”。）//〖引〗多余的，无用的。刘勰《文心雕龙·镕裁》：“而委心逐辞，异端丛至，骈（pián）～必多。”（委心：任心。骈：指本该一个而分为两个。）
隧,,隧㈡,,zhuì,阝左,14,左右,一级字,通“坠”。落下，掉下。《淮南子·说林》：“悬垂之类，有时而～。”
醊,,醊,,zhuì,酉,15,左右,,连续祭祀。见《广韵》。//〖又〗洒酒于地祭祀。《后汉书·卢植传》：“亟遣丞掾除其坟墓，存其子孙，并致薄～，以彰厥德。”//〖泛〗祭奠。《后汉书·何颙传》：“颙感其义，为复仇，以头～其墓。”
队,,队㈢,[隊],zhuì,阝左,4,左右,一级字,从高处掉下来。《荀子·天论》：“夫星之～，木之鸣，是天地之变。”（木之鸣：树木发出响声。变：指反常现象。）//〖引〗失掉。《国语·楚语下》：“自先王莫～其国。”（莫：没有一个人。）这个意义后来写作“坠”。
坠,,坠,[墜],zhuì,土,7,上下,一级字,落下，掉下。《列子·天瑞》：“杞国有人，忧天地崩～。”//〖引〗失。《国语·晋语二》：“敬不～命。”
追,,追㈡,,zhuī,辶,9,半包围,一级字,❶追赶。《左传·桓公六年》：“少师归，请～楚师。”成语有“追亡逐北”。//❷追求。屈原《离骚》：“背绳墨以～曲兮，竞周容以为度。”//❸追溯，回溯。《左传·成公十三年》：“吾与女同好弃恶，复修旧德，以～念前勋。”//❹补救。《论语·微子》：“往者不可谏，来者犹可～。”《左传·哀公十六年》：“悔其可～。”//〖又〗事后补办。《左传·昭公七年》：“卫襄公卒……王使成简公如卫吊，且～命襄公曰。”
磓,,磓㈡,,zhuì,,,,,通“硾”。捣。李贺《官街鼓》诗：“～碎千年日长白，孝武秦皇听不得。”
准,,准,[準],zhǔn,冫,10,左右,一级字,❶一种测量水平的器具。《汉书·律历志上》：“～者，所以揆（kuí）平取正也。”（揆：度量。）//〖引〗测量。《汉书·沟洫志》：“令水工～高下，开大河上领。”//〖引〗揣测。《淮南子·览冥》：“群臣～上意而怀当。”（上意：君主的意图。）//❷标准，准则。《荀子·致士》：“程者，物之～也。”（程：度量的总名。）//〖引〗以……为标准，效仿。左思《咏史八首》之一：“著论～《过秦》，作赋拟《子虚》。”//❸等同。《周易·系辞上》：“《易》与天地～，故能弥纶天地之道。”//❹准确。刘勰《文心雕龙·史传》：“若司马彪之详实，华峤之～当，则其冠也。”//❺鼻子。《后汉书·光武帝纪》：“美须眉，大口，隆～。”（隆：高。）//【注意】//“准”是后起字，古代用得不多，唐五代以后主要用于公文，表示“依照”、“许可”等意义。今为“準”的简化字。
谆,,谆,[諄],zhūn,讠,10,左右,一级字,❶[谆谆]//教诲不倦的样子。《诗经·大雅·抑》：“诲尔～～，听我藐藐。”（诲：教诲。尔：你。藐藐：指听不进去。）//昏乱。《左传·襄公三十一年》：“且年未盈五十，而～～焉如八九十者。”（年：年龄。盈：满。）//❷辅佐。《国语·晋语九》：“以～赵鞅之故。”（以：因为。赵鞅：人名。故：缘故。）
淳,,淳㈡,[湻],zhūn,氵,11,左右,一级字,浇，灌。《周礼·考工记·钟氏》：“～而渍（zì）之。”（渍：浸，沤。）
屯,,屯㈡,,zhūn,一,4,独体,一级字,艰难。《后汉书·皇后纪上》：“五子作乱，冢嗣遘～。”（冢嗣：长子。遘：遇，遭受。）//[屯邅（zhān）]//遭遇困境。左思《咏史》：“英雄有～～。”
忳,,忳㈢,,zhūn,忄,7,左右,三级字,[忳忳]//诚恳的样子。朱熹《楚辞集注·九辩》：“纷～～之愿忠兮，妬被离而鄣之。”
纯,,纯㈢,[純],zhǔn,纟,7,左右,一级字,衣服鞋帽的镶边。《荀子·正论》：“赭（zhě）衣而不～。”（赭衣：古代犯人穿的赤褐色的衣服。）
迍,,迍,,zhūn,辶,7,半包围,,[迍邅（zhān）]//困顿，处境艰难。伍缉之《劳歌》二首之一：“～～已穷极，疢痾复不康。”骆宾王《畴昔篇》：“丈夫坎壈多愁疾，契阔～～尽今日。”又写作“屯邅”。
肫,,肫㈢,,zhūn,月,8,左右,二级字,❶鸟类的胃。《玉篇》：“肫，鸟藏也。”张鷟《朝野佥载》卷六：“渤海高瓒闻而造之，为设鸡～而已。”（造：造访。）//❷[肫肫]//诚恳的样子。《礼记·中庸》：“～～其仁，渊渊其渊，浩浩其天。”
窀,,窀,,zhūn,穴,9,上下,三级字,[窀穸（xī）]//埋葬。《左传·襄公十三年》：“唯是春秋～～之事，所以从先君于祢庙者，请为灵若厉，大夫择焉。”//〖引〗墓穴。《后汉书·赵咨传》：“玩好穷于粪土，伎巧费于～～。”
倬,,倬,,zhuō,亻,10,左右,二级字,高大、显明的样子。《诗经·大雅·云汉》：“～彼云汉。”（云汉：天河。）
剒,,剒㈡,,zhuó,刂,10,左右,,通“斮”。斩，割。《北齐书·齐纪总论》：“刳（kū）～被于忠良，禄位加于犬马。”（刳：挖空腹。被：施加。）
捉,,捉,,zhuō,扌,10,左右,一级字,❶握。《世说新语·容止》：“帝自～刀立床头。”《新唐书·杨师道传》：“～笔赋诗。”//❷捉拿，捕捉（后起意义）。杜甫《石壕吏》诗：“有吏夜～人。”//【辨析】//捕，逮，捉。见72页“逮”字。
诼,,诼,[諑],zhuó,讠,10,左右,二级字,造谣，毁谤。《楚辞·九思·逢尤》：“被～谮（zèn）兮虚获尤。”（谮：说坏话诬陷别人。虚：平白无故地。尤：过错，罪过。）
酌,,酌,,zhuó,酉,10,左右,一级字,❶斟酒。《诗经·小雅·瓠叶》：“君子有酒，～言尝之。”//〖引〗斟酒喝。陶潜《归去来兮辞》：“引壶觞（shāng）以自～。”（觞：装酒用的器物。）//〖又〗酒。李白《陪族叔当涂宰游化城寺升公清风亭》诗：“茗～待幽客。”//❷斟酌，经过衡量决定取舍。《左传·成公六年》：“子为大政，将～于民者也。”（为大政：指任中军元帅。酌于民：指对众人的意见加以斟酌。）//❸舀取。《诗经·大雅·泂酌》：“泂（jiǒng）～彼行潦。”（泂：远。行潦：指流水。）//〖又〗舀水喝。王勃《滕王阁序》：“～贪泉而觉爽，处涸辙以犹欢。”
啄,,啄㈡,,zhuó,口,11,左右,一级字,鸟用嘴取食。《诗经·小雅·黄鸟》：“黄鸟黄鸟，无集于谷，无～我粟。”
棁,,棁㈡,,zhuō,木,11,左右,二级字,梁上的短柱。《论语·公冶长》：“臧文仲居蔡，山节藻～。”（山节：梁上的斗拱雕成山形。藻：指有水藻图案。）
著,,著㈡,,zhuó,艹,11,上下,一级字,❶附着，加……于上。贾谊《论积贮疏》：“今驱民而归之农，皆～于本，使天下各食其力。”（本：指农业。）《晋书·刘琨传》：“常恐祖生先吾～鞭。”（祖生：人名。著鞭：加鞭。）又如“著笔”、“著眼”、“著手”等。//[土著]//定居于一地，不是游牧的。《汉书·张骞传》：“其俗～～。”//“土著”后来指世代居住本地的人，“著”读为zhù。//❷穿，戴（后起意义）。《木兰诗》：“脱我战时袍，～我旧时裳。”《世说新语·任诞》：“复能乘骏马，倒～白接篱。”（接篱：帽子。）//[衣著]//服装。陶潜《桃花源记》：“男女～～，悉如外人。”（悉：全。）
棹,,棹㈡,,zhuō,木,12,左右,二级字,木名。嵇含《南方草木状》：“～树，干叶俱似椿……出高凉郡。”
椓,,椓,,zhuó,木,12,左右,三级字,❶击打。《诗经·周南·兔罝》：“肃肃兔罝，～之丁（zhēng）丁。”（丁丁：象声词。）《淮南子·说林》：“椎固有柄，不能自～。”//〖引〗打击，残害。《诗经·小雅·正月》：“民今之无禄，天夭是～。”（夭：祸。）//❷宫刑。《尚书·吕刑》：“杀戮无辜，爰始淫为劓、刵、～、黥。”//❸攻击，毁谤。《左传·哀公十七年》：“卫侯辞以难，大子又使～之。”
焯,,焯,,zhuō,火,12,左右,二级字,明，明白。《说文·火部》：“焯，明也。”//〖又〗照耀。庾阐《吊贾生文》：“焕乎若望舒耀景而～群星，矫乎若翔鸾拊翼而逸宇宙也。”颜真卿等《水堂送诸文士戏赠潘丞联句》：“帘开北陆风，烛～南枝鹊。”
琢,,琢,,zhuó,王,12,左右,一级字,雕刻玉石。《诗经·卫风·淇奥》：“如切如磋，如～如磨。”（磋：磨光。）《礼记·学记》：“玉不～，不成器。”
箸,,箸㈡,,zhuó,竹(𥫗),14,上下,二级字,通“著”。附着。《战国策·赵策一》：“兵～晋阳三年矣。”//〖又〗穿着。《世说新语·贤媛》：“桓车骑不好～新衣。”
踔,,踔㈡,,zhuō,𧾷,15,左右,二级字,远。《史记·货殖列传》：“地～远，人民希。”
燋,,燋㈢,,zhuó,火,16,左右,三级字,通“灼”。烧灼，灼热。班固《白虎通·五行》：“其火～金。”《论衡·雷虚》：“烧石色赤，投于井中，石～井寒，激声大鸣。”
缴,,缴㈡,[繳],zhuó,纟,16,左右,一级字,拴在箭上的生丝绳。《战国策·楚策四》：“不知夫射者方将修其𦲱（bō）卢，治其缯～，将加己乎百仞之上。”（𦲱卢：弓箭名。𦲱，一本作“碆”。）《淮南子·说山》：“好弋（yì）者先具～与矰（zēng）。”（弋：用带着绳子的箭射鸟。具：准备。矰：带有丝绳的短箭。）
鷟,,鷟,[鷟],zhuó,鸟,16,上下,三级字,[鸑鷟]//见511页“鸑”字。
擢,,擢,,zhuó,扌,17,左右,二级字,❶拔，抽。《史记·范雎蔡泽列传》：“～贾之发以续贾之罪，尚未足。”（贾：人名。续：接续。）//〖引〗植物滋长。韦应物《郡斋移杉》诗：“～干方数尺，幽姿已苍然。”（方：才。幽姿：幽雅的姿态。苍然：青翠的样子。）//❷提拔，选拔。《汉书·赵充国传》：“～为后将军。”（后将军：武官名。）《战国策·燕策二》：“～之乎宾客之中，而立之乎群臣之上。”//【辨析】//拔，擢。在“拔、抽”的意义上，“擢”可以指植物滋长，而“拔”只用于人力或风力把东西拔起来。在“提拔”的意义上，“拔”往往指提拔本来没有官职的人，“擢”往往指提升官职。至于“攻取某地”的意义，只能用“拔”，不能用“擢”。
濯,,濯,,zhuó,氵,17,左右,二级字,❶洗。屈原《渔父》：“沧浪之水清兮，可以～吾缨。”（沧浪：河名。缨：帽带子。）//❷[濯濯]//有光泽的样子。《诗经·大雅·崧高》：“钩膺～～。”（钩膺：马颈腹上带子的装饰。）//光秃的样子。《孟子·告子上》：“人见其～～也，以为未尝有材焉。”//娱游的样子。《史记·司马相如列传》：“～～之麟。”//【辨析】//濯，涤，洗。见440页“洗”字。
镯,,镯,[鐲],zhuó,钅,18,左右,二级字,军乐器，形似小钟。《周礼·夏官·大司马》：“鼓行，鸣～，车徒皆行。”//【注意】//“镯”在古代没有“手镯”义。
